,Text,Class
395,i would but i m still cozy  and exhausted from last night nobody went to school or work  everything is closed ,ham
396,me not waking up until 4 in the afternoon  sup,ham
397,then why you came to hostel ,ham
398,i have a sore throat  it s scratches when i talk,ham
399,i see  when we finish we have loads of loans to pay,ham
400,we made it  eta at taunton is 12 30 as planned  hope that û s still okday   good to see you    xx,ham
401,i wait 4 ì_ inside da car park   ,ham
402,nice nice how is it working ,ham
403,i can t describe how lucky you are that i m actually awake by noon,ham
404,10 min later k   ,ham
405,imagine you finally get to sink into that bath after i have put you through your paces  maybe even having you eat me for a while before i left     but also imagine the feel of that cage on your cock surrounded by the bath water  reminding you always who owns you     enjoy  my cuck,ham
406,me fine  absolutly fine,ham
407,aight  let me know when you re gonna be around usf,ham
408,text her  if she doesnt reply let me know so i can have her log in,ham
409,don t forget though that i love you      and i walk beside you  watching over you and keeping your heart warm ,ham
410,senthil group company apnt 5pm ,ham
411,might ax well im there ,ham
412,there is a first time for everything   ,ham
413,i got like    lt   gt    i can get some more later though  get whatever you feel like,ham
414,hey    are you going to quit soon  xuhui and i working till end of the month ,ham
415,that s my honeymoon outfit    ,ham
416,i need to come home and give you some good lovin   ,ham
417,do well   all will for little time  thing of good times ahead ,ham
418,ha    both of us doing e same thing  but i got tv 2 watch  u can thk of where 2 go tonight or u already haf smth in mind   ,ham
419,i will come with karnan car  please wait till 6pm will directly goto doctor ,ham
420,thank you baby  i cant wait to taste the real thing   ,ham
421,i have to take exam with in march 3,ham
422,thinkin about someone is all good  no drugs for that,ham
423,i don t have anybody s number  i still haven t thought up a tactful way to ask alex,ham
424,its just the effect of irritation  just ignore it,ham
425,becoz its   lt   gt   jan whn al the post ofice is in holiday so she cn go fr the post ofice   got it duffer,ham
426,lol that s different  i don t go trying to find every real life photo you ever took ,ham
427,your opinion about me  1  over 2  jada 3  kusruthi 4  lovable 5  silent 6  spl character 7  not matured 8  stylish 9  simple pls reply  ,ham
428,are you planning to come chennai ,ham
429,i like you peoples very much   but am very shy pa ,ham
430,yeah just open chat and click friend lists  then make the list  easy as pie,ham
431,i gotta collect da car at 6 lei ,ham
432,there are some nice pubs near here or there is frankie n bennys near the warner cinema ,ham
433,ditto  and you won t have to worry about me saying anything to you anymore  like i said last night  you do whatever you want and i ll do the same  peace ,ham
434,soon you will have the real thing princess  do i make you wet    ,ham
435,especially since i talk about boston all up in my personal statement  lol  i woulda changed that if i had realized it said nyc  it says boston now ,ham
436,1 20 that call cost  which i guess isnt bad  miss ya  need ya  want ya  love ya,ham
437,smith waste da i wanna gayle ,ham
438,dont gimme that lip caveboy,ham
439,here is my new address  apples pairs all that malarky,ham
440,customer service announcement  we recently tried to make a delivery to you but were unable to do so  please call 07090298926 to re schedule  ref 9307622,spam
441,k  u also dont msg or reply to his msg  ,ham
442,are you coming to day for class ,ham
443,good morning  my boytoy  how s those yummy lips   where s my sexy buns now   what do you do   do you think of me   do you crave me   do you need me  ,ham
444,in the end she might still vomit but its okay  not everything will come out ,ham
445,i think if he rule tamilnadu  then its very tough for our people ,ham
446,i cant pick the phone right now  pls send a message,ham
447,dude how do you like the buff wind ,ham
448,i am waiting for your call sir ,ham
449,yeah he got in at 2 and was v apologetic  n had fallen out and she was actin like spoilt child and he got caught up in that  till 2  but we won t go there  not doing too badly cheers  you  ,ham
450,oh god i am happy to see your message after 3 days,ham
451,what time  i û m out until prob 3 or so,ham
452,i plane to give on this month end ,ham
453,say thanks2  ,ham
454,watching ajith film ah ,ham
455,havent still waitin as usual    ìï come back sch oredi ,ham
456,meeting u is my work      tel me when shall i do my work tomorrow,ham
457,what you need  you have a person to give na ,ham
458,i sent lanre fakeye s eckankar details to the mail box,ham
459,hey   don t forget     you are mine     for me     my possession     my property     mmm      childish smile     ,ham
460,hi  my love  how goes that day  fuck  this morning i woke and dropped my cell on the way down the stairs but it seems alright      phews  i miss you  ,ham
461,oh thats late  well have a good night and i will give u a call tomorrow  iam now going to go to sleep night night,ham
462,oh dang  i didn t mean o send that to you  lol ,ham
463,wot is u up 2 then bitch ,ham
464,really dun bluff me leh    u sleep early too  nite   ,ham
465,i can t right this second  gotta hit people up first,ham
466,and do you have any one that can teach me how to ship cars ,ham
467,dunno i juz askin cos i got a card got 20  off 4 a salon called hair sense so i tot it s da one ì_ cut ur hair  ,ham
468,for real tho this sucks  i can t even cook my whole electricity is out  and i m hungry ,ham
469, 123 congratulations   in this week s competition draw u have won the å 1450 prize to claim just call 09050002311 b4280703  t cs stop sms 08718727868  over 18 only 150ppm,spam
470,u calling me right  call my hand phone   ,ham
471,love that holiday monday feeling even if i have to go to the dentists in an hour,ham
472,ard 4 lor   ,ham
473,i am late  i will be there at,ham
474,ok i msg u b4 i leave my house ,ham
475,hmmm     mayb can try e shoppin area one  but forgot e name of hotel   ,ham
476,jane babes not goin 2 wrk  feel ill after lst nite  foned in already cover 4 me chuck    ,ham
477,living is very simple   loving is also simple   laughing is too simple   winning is tooo simple   but  being  simple  is very difficult          ,ham
478,ha ha ha good joke  girls are situation seekers ,ham
479,did u see what i posted on your facebook ,ham
480,wat time u finish ur lect today ,ham
481,marvel mobile play the official ultimate spider man game  å 4 50  on ur mobile right now  text spider to 83338 for the game   we ll send u a free 8ball wallpaper,spam
482,i cant talk to you now i will call when i can dont keep calling ,ham
483,lol wtf random  btw is that your lunch break,ham
484,whatever  im pretty pissed off ,ham
485,for you information  ikea is spelled with all caps  that is not yelling  when you thought i had left you  you were sitting on the bed among the mess when i came in  i said we were going after you got home from class  please don t try and bullshit me  it makes me want to listen to you less ,ham
486,i am in hospital da    i will return home in evening,ham
487,aight should i just plan to come up later tonight ,ham
488,your chance to be on a reality fantasy show call now   08707509020 just 20p per min ntt ltd  po box 1327 croydon cr9 5wb 0870 is a national   rate call,spam
489,bring tat cd don forget,ham
490,haf u eaten  wat time u wan me 2 come ,ham
491,i m there and i can see you  but you can t see me   maybe you should reboot ym   i seen the buzz,ham
492,sms services for your inclusive text credits pls gotto www comuk net login 3qxj9 unsubscribe with stop no extra charge help 08702840625 comuk 220cm2 9ae,spam
493,storming msg  wen u lift d phne  u say  hello   do u knw wt is d real meaning of hello         it s d name of a girl          yes   and u knw who is dat girl     margaret hello   she is d girlfrnd f grahmbell who invnted telphone            moral one can 4get d name of a person,ham
494,if anyone calls for a treadmill say you ll buy it  make sure its working  i found an ad on craigslist selling for    lt   gt   ,ham
495,today is accept day  u accept me as  brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy,ham
496,i was just callin to say hi  take care bruv ,ham
497,cheers for the message zogtorius  iåõve been staring at my phone for an age deciding whether to text or not ,ham
498,private  your 2004 account statement for 07742676969 shows 786 unredeemed bonus points  to claim call 08719180248 identifier code  45239 expires,spam
499,ìï dun wan to watch infernal affair ,ham
500,k and you re sure i don t have to have consent forms to do it  v,ham
501,haha    can    but i m having dinner with my cousin   ,ham
502,haha awesome  i ve been to 4u a couple times  who all s coming ,ham
503,yeah sure  give me a couple minutes to track down my wallet,ham
504,thatåõs alrite girl  u know gail is neva wrong  take care sweet and donåõt worry c u l8tr hun love yaxxx,ham
505,i don t know u and u don t know me  send chat to 86688 now and let s find each other  only 150p msg rcvd  hg suite342 2lands row w1j6hl ldn  18 years or over ,spam
506,yeah whatever lol,ham
507,i wonder how you got online  my love   had you gone to the net cafe   did you get your phone recharged   were you on a friends net   i think of you  boytoy,ham
508,great  how is the office today ,ham
509,ard 530 lor  i ok then message ì_ lor ,ham
510,nah im goin 2 the wrks with j wot bout u ,ham
511,i told that am coming on wednesday ,ham
512,what time should i tell my friend to be around ,ham
513,double your mins   txts on orange or 1 2 price linerental   motorola and sonyericsson with b tooth free nokia free call mobileupd8 on 08000839402 or2optout hv9d,spam
514,no da  he is stupid da  always sending like this  don believe any of those message pandy is a mental  ,ham
515,too late  i said i have the website  i didn t i have or dont have the slippers,ham
516,in fact when do you leave  i think addie goes back to school tues or wed,ham
517,we still on for tonight ,ham
518,yup ì_ not comin    ,ham
519,cos i want it to be your thing,ham
520,did you show him and wot did he say or could u not c him 4 dust ,ham
521,ok  not sure what time tho as not sure if can get to library before class  will try  see you at some point  have good eve ,ham
522,i attended but nothing is there ,ham
523,december only  had your mobile 11mths   you are entitled to update to the latest colour camera mobile for free  call the mobile update co free on 08002986906,spam
524,hi  did you asked to waheeda fathima about leave ,ham
525,still chance there  if you search hard you will get it  let have a try   ,ham
526,en chikku nange bakra msg kalstiya  then had tea coffee ,ham
527,u studying in sch or going home  anyway i ll b going 2 sch later ,ham
528,i m in town now so i ll jus take mrt down later ,ham
529,well the general price is   lt   gt   oz  let me know if when how much you want,ham
530,private  your 2003 account statement for 07808247860 shows 800 un redeemed s  i  m  points  call 08719899229 identifier code  40411 expires 06 11 04,spam
531,wa  ur openin sentence very formal    anyway  i m fine too  juz tt i m eatin too much n puttin on weight   haha    so anythin special happened ,ham
532, bank of granite issues strong buy  explosive pick for our members      up over 300              nasdaq symbol cdgt that is a  5 00 per  ,spam
533,we can make a baby in yo tho,ham
534,i m done  i m sorry  i hope your next space gives you everything you want  remember all the furniture is yours  if i m not around when you move it  just lock all the locks and leave the key with jenne ,ham
535,i û ll leave around four  ok ,ham
536,hmm   my uncle just informed me that he s paying the school directly  so pls buy food ,ham
537,sorry  i ll call later in meeting any thing related to trade please call arul   lt   gt  ,ham
538,babe   how goes that day   what are you doing   where are you   i sip my cappuccino and think of you  my love     i send a kiss to you from across the sea,ham
539,i m so in love with you  i m excited each day i spend with you  you make me so happy ,ham
540,hey i am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,spam
541,its a valentine game      send dis msg to all ur friends    if 5 answers r d same then someone really loves u    ques  which colour suits me the best ,ham
542,thanks for picking up the trash ,ham
543,hi dis is yijue i would be happy to work wif ì_ all for gek1510   ,ham
544,please protect yourself from e threats  sib never asks for sensitive information like passwords atm sms pin thru email  never share your password with anybody ,ham
545,double mins   double txt   1 2 price linerental on latest orange bluetooth mobiles  call mobileupd8 for the very latest offers  08000839402 or call2optout lf56,spam
546,wewa is 130  iriver 255  all 128 mb ,ham
547,omg you can make a wedding chapel in frontierville  why do they get all the good stuff ,ham
548,want explicit sex in 30 secs  ring 02073162414 now  costs 20p min,spam
549,i m gonna say no  sorry  i would but as normal am starting to panic about time  sorry again  are you seeing on tuesday ,ham
550,hi there  2nights ur lucky night  uve been invited 2 xchat  the uks wildest chat  txt chat to 86688 now  150p msgrcvdhg suite342 2lands row w1j6hl ldn 18yrs,spam
551,ofcourse i also upload some songs,ham
552,yeah  we can probably swing by once my roommate finishes up with his girl,ham
553,wot about on wed nite i am 3 then but only til 9 ,ham
554,yeah no probs   last night is obviously catching up with you    speak soon ,ham
555,it û s reassuring  in this crazy world ,ham
556,okie but i scared u say i fat    then u dun wan me already   ,ham
557,what i told before i tell  stupid hear after i wont tell anything to you  you dad called to my brother and spoken  not with me ,ham
558,alright  i m out  have a good night ,ham
559,i m used to it  i just hope my agents don t drop me since i ve only booked a few things this year  this whole me in boston  them in nyc was an experiment ,ham
560,oh all have to come ah ,ham
561,ok then u tell me wat time u coming later lor ,ham
562,i have a date on sunday with will  ,ham
563,honestly i ve just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out ,ham
564,what do u want when i come back  a beautiful necklace as a token of my heart for you thats what i will give but only to my wife of my liking be that and see  no one can give you that dont call me i will wait till i come ,ham
565,good afternoon  my love  how goes your day   what are you up to   i woke early and am online waiting for you     hmmm     italian boy is online i see    grins ,ham
566,i really need 2 kiss u i miss u my baby from ur baby 4eva,ham
567,on a tuesday night r u 4 real,ham
568,thanks for your message  i really appreciate your sacrifice  i m not sure of the process of direct pay but will find out on my way back from the test tomorrow  i m in class now  do have a wonderful day ,ham
569,what your plan for pongal ,ham
570,hi  can i please get a   lt   gt   dollar loan from you  i ll pay you back by mid february  pls ,ham
571,thts god s gift for birds as humans hav some natural gift frm god  ,ham
572,yup    hey then one day on fri we can ask miwa and jiayin take leave go karaoke ,ham
573,  lt decimal gt  m but its not a common car here so its better to buy from china or asia  or if i find it less expensive  i ll holla,ham
574,oh    okie lor   we go on sat    ,ham
575,freemsg feelin kinda lnly hope u like 2 keep me company  jst got a cam moby wanna c my pic txt or reply date to 82242 msg150p 2rcv hlp 08712317606 stop to 82242,spam
576,as i entered my cabin my pa said     happy b day boss       i felt special  she askd me 4 lunch  after lunch she invited me to her apartment  we went there ,ham
577,had your mobile 11mths   update for free to oranges latest colour camera mobiles   unlimited weekend calls  call mobile upd8 on freefone 08000839402 or 2stoptxt,spam
578,no it will reach by 9 only  she telling she will be there  i dont know,ham
579,i am at a party with alex nichols,ham
580,night has ended for another day  morning has come in a special way  may you smile like the sunny rays and leaves your worries at the blue blue bay ,ham
581,will do  you gonna be at blake s all night  i might be able to get out of here a little early,ham
582,bishan lar nearer    no need buy so early cos if buy now i gotta park my car   ,ham
583,it so happens that there r 2waxsto do wat you want  she can come and ill get her medical insurance  and she ll be able to deliver and have basic care  i m currently shopping for the right medical insurance for her  so just give me til friday morning  thats when i ll see the major person that can guide me to the right insurance ,ham
584,okie,ham
585,i m going 2 orchard now laready me reaching soon  u reaching ,ham
586,we tried to contact you re our offer of new video phone 750 anytime any network mins half price rental camcorder call 08000930705 or reply for delivery wed,spam
587,v aluable  a ffectionate  l oveable  e ternal  n oble  t ruthful  i ntimate  n atural  e namous  happy  valentines day   in advance ,ham
588,  will be september by then ,ham
589,miserable  they don t tell u that the side effects of birth control are massive gut wrenching cramps for the first 2 months  i didn t sleep at all last night ,ham
590,okies    i ll go yan jiu too    we can skip ard oso  go cine den go mrt one  blah blah blah    ,ham
591,o turns out i had stereo love on mi phone under the unknown album ,ham
592,i want to grasp your pretty booty   ,ham
593,dunno  my dad said he coming home 2 bring us out 4 lunch  yup i go w u lor  i call u when i reach school lor   ,ham
594,tell your friends what you plan to do on valentines day    lt url gt ,ham
595,i notice you like looking in the shit mirror youre turning into a right freak,ham
596,well there s not a lot of things happening in lindsay on new years  sighs  some bars in ptbo and the blue heron has something going,ham
597,your account has been credited with 500 free text messages  to activate  just txt the word  credit to no  80488 t cs www 80488 biz,spam
598,wish i were with you now ,ham
599,hows that watch resizing,ham
600,can you please ask macho what his price range is  does he want something new or used plus it he only interfued in the blackberry bold   lt   gt   or any bb,ham
601,cuz ibored  and don wanna study,ham
602,k fyi x has a ride early tomorrow morning but he s crashing at our place tonight,ham
603,sorry  you never hear unless you book it  one was kinda a joke  thet were really looking for skinny white girls  the other was one line  you can only do so much on camera with that  something like that they re casting on the look ,ham
604,haha i think i did too,ham
605,olol i printed out a forum post by a guy with the exact same  prob which was fixed with a gpu replacement  hopefully they dont ignore that ,ham
606,haha    where got so fast lose weight  thk muz go 4 a month den got effect    gee later we go aust put bk e weight ,ham
607,x2   lt   gt    are you going to get that,ham
608,be sure to check your yahoo email  we sent photos yesterday,ham
609,sending you greetings of joy and happiness  do have a gr8 evening,ham
610, lt   gt   w jetton ave if you forgot,ham
611,i have 2 sleeping bags  1 blanket and paper and  phone details  anything else ,ham
612,well that must be a pain to catch,ham
613,lol i have to take it  member how i said my aunt flow didn t visit for 6 months  it s cause i developed ovarian cysts  bc is the only way to shrink them ,ham
614,hello my little party animal  i just thought i d buzz you as you were with your friends     grins     reminding you were loved and send a naughty adoring kiss,ham
615,can you please send me my aunty s number,ham
616,ur going 2 bahamas  callfreefone 08081560665 and speak to a live operator to claim either bahamas cruise ofå 2000 cash 18 only  to opt out txt x to 07786200117,spam
617,i can call in   lt   gt   min if thats ok,ham
618,ok omw now  you at castor ,ham
619,wn u r hurt by d prsn who s close 2 u  do fight wit dem  coz somtimes dis fight saves a relation bt being quiet leaves nothin in a relation   gud eveb  ,ham
620,when are you going to ride your bike ,ham
621,k  fyi i m back in my parents  place in south tampa so i might need to do the deal somewhere else,ham
622,lovely smell on this bus and it ain t tobacco    ,ham
623,xy trying smth now  u eat already  we havent   ,ham
624,finished class where are you ,ham
625,don know  this week i m going to tirunelvai da ,ham
626,wat would u like 4 ur birthday ,ham
627,lmao you know me so well   ,ham
628,we ll you pay over like   lt   gt  yrs so its not too difficult,ham
629,i need you to be in my strong arms   ,ham
630,hey hun onbus goin 2 meet him  he wants 2go out 4a meal but i donyt feel like it cuz have 2 get last bus home but hes sweet latelyxxx,ham
631,somewhr someone is surely made 4 u  and god has decided a perfect time to make u meet dat person        till den            enjoy ur crushes        ,ham
632,will be out of class in a few hours  sorry,ham
633,haha  my legs and neck are killing me and my amigos are hoping to end the night with a burn  think i could swing by in like an hour ,ham
634,7 wonders in my world 7th you 6th ur style 5th ur smile 4th ur personality 3rd ur nature 2nd ur sms and 1st  ur lovely friendship      good morning dear ,ham
635,it doesnt make sense to take it there unless its free  if you need to know more  wikipedia com,ham
636,sorry my roommates took forever  it ok if i come by now ,ham
637,hack chat  get backdoor entry into 121 chat rooms at a fraction of the cost  reply neo69 or call 09050280520  to subscribe 25p pm  dps  bcm box 8027 ldn  wc1n3xx,spam
638,he s just gonna worry for nothing  and he won t give you money its no use ,ham
639,cos darren say ì_ considering mah so i ask ì_   ,ham
640,loan for any purpose å 500   å 75 000  homeowners   tenants welcome  have you been previously refused  we can still help  call free 0800 1956669 or text back  help ,spam
641,the hair cream has not been shipped ,ham
642,sorry i missed your call  can you please call back ,ham
643,just sent you an email  ûò to an address with incomm in it  is that right ,ham
644,piggy  r u awake  i bet u re still sleeping  i m going 4 lunch now   ,ham
645,brainless baby doll    d     vehicle sariyag drive madoke barolla  ,ham
646,k  makes sense  btw carlos is being difficult so you guys are gonna smoke while i go pick up the second batch and get gas,ham
647,please call 08712402779 immediately as there is an urgent message waiting for you,spam
648,i wnt to buy a bmw car urgently  its vry urgent but hv a shortage of   lt   gt  lacs there is no source to arng dis amt   lt   gt  lacs  thats my prob,ham
649,sure but since my parents will be working on tuesday i don t really need a cover story,ham
650,re your call  you didn t see my facebook huh ,ham
651,i think i am disturbing her da,ham
652,yeah that s what i thought  lemme know if anything s goin on later,ham
653,match started india   lt   gt   for 2,ham
654,oh mr sheffield  you wanna play that game  okay  you re the boss and i m the nanny  you give me a raise and i ll give you one  ,ham
655,well  i m gonna finish my bath now  have a good   fine night ,ham
656,better  made up for friday and stuffed myself like a pig yesterday  now i feel bleh  but at least its not writhing pain kind of bleh ,ham
657,u so lousy  run already come back then half dead    hee   ,ham
658,thanx  yup we coming back on sun  finish dinner going back 2 hotel now  time flies  we re tog 4 exactly a mth today  hope we ll haf many more mths to come   ,ham
659,aight  see you in a bit,ham
660,valentines day special  win over å 1000 in our quiz and take your partner on the trip of a lifetime  send go to 83600 now  150p msg rcvd  custcare 08718720201 ,spam
661,ugh its been a long day  i m exhausted  just want to cuddle up and take a nap,ham
662,haha    hope ì_ can hear the receipt sound    gd luck ,ham
663,hello lover  how goes that new job  are you there now  are you happy  do you think of me  i wake  my slave and send you a teasing kiss from across the sea,ham
664,kit strip   you have been billed 150p  netcollex ltd  po box 1013 ig11 oja,spam
665,unless it s a situation where you go gurl would be more appropriate,ham
666,yup he msg me  is tat yijue  then i tot it s my group mate cos we meeting today mah    i m askin if ì_ leaving earlier or wat mah cos mayb ì_ haf to walk v far   ,ham
667,garbage bags  eggs  jam  bread  hannaford wheat chex,ham
668,pls go there today   lt   gt    i dont want any excuses,ham
669,anything lor if they all go then i go lor   ,ham
670,was just about to ask  will keep this one  maybe that s why you didn t get all the messages we sent you on glo,ham
671,keep my payasam there if rinu brings,ham
672,short but cute     be a good person ,ham
673,no problem  talk to you later,ham
674,i wish  i don t think its gonna snow that much  but it will be more than those flurries we usually get that melt before they hit the ground  eek  we haven t had snow since  lt   gt  before i was even born ,ham
675,ever green quote ever told by jerry in cartoon  a person who irritates u always is the one who loves u vry much but fails to express it                 gud nyt ,ham
676,just wanted to say holy shit you guys weren t kidding about this bud,ham
677,yavnt tried yet and never played original either,spam
678,gosh that   what a pain  spose i better come then ,ham
679,call 09094100151 to use ur mins  calls cast 10p min  mob vary   service provided by aom  just gbp5 month  aom box61 m60 1er until u stop  ages 18  only ,spam
680,i could ask carlos if we could get more if anybody else can chip in,ham
681,going to join tomorrow ,ham
682,dude im no longer a pisces  im an aquarius now ,ham
683,did you say bold  then torch later  or one torch and 2bold ,ham
684,which is weird because i know i had it at one point,ham
685,you are right though  i can t give you the space you want and need  this is really starting to become an issue  i was going to suggest setting a definite move out  if i m still there   after greece  but maybe you are ready and should do it now ,ham
686,love isn t a decision  it s a feeling  if we could decide who to love  then  life would be much simpler  but then less magical,ham
687,urgent  please call 09061743811 from landline  your abta complimentary 4  tenerife holiday or å 5000 cash await collection sae t cs box 326 cw25wx 150ppm,spam
688,ard 6 like dat lor ,ham
689,cool  do you like swimming  i have a pool and jacuzzi at my house ,ham
690,lol its ok i didn t remember til last nite,ham
691,k give me a sec  breaking a   lt   gt   at cstore,ham
692,yeh  indians was nice  tho it did kane me off a bit he he  we shud go out 4 a drink sometime soon  mite hav 2 go 2 da works 4 a laugh soon  love pete x x,ham
693,guess which pub im in  im as happy as a pig in clover or whatever the saying is  ,ham
694,and i don t plan on staying the night but i prolly won t be back til late,ham
695,or i guess   lt   gt   min,ham
696,lol great now im getting hungry ,ham
697,i m taking derek  amp  taylor to walmart  if i m not back by the time you re done just leave the mouse on my desk and i ll text you when priscilla s ready,ham
698,hi  this is roger from cl  how are you ,ham
699,k i ll be sure to get up before noon and see what s what,ham
700,congratulations you ve won  you re a winner in our august å 1000 prize draw  call 09066660100 now  prize code 2309 ,spam
701,thought praps you meant another one  goodo  i ll look tomorrow ,ham
702,so now my dad is gonna call after he gets out of work and ask all these crazy questions ,ham
703,ìï still attending da talks ,ham
704,mm not entirely sure i understood that text but hey  ho  which weekend ,ham
705,hi   technical support providing assistance to us customer through call and email  ,ham
706,i like to talk pa but am not able to  i dont know y ,ham
707,noice  text me when you re here,ham
708,what makes you most happy ,ham
709,any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer s paperwork  not cool at all  please do not contact me again or i will report you to your supervisor ,ham
710,as per your request  melle melle  oru minnaminunginte nurungu vettam   has been set as your callertune for all callers  press  9 to copy your friends callertune,ham
711,s fine  anytime  all the best with it ,ham
712,i cant keep talking to people if am not sure i can pay them if they agree to price  so pls tell me what you want to really buy and how much you are willing to pay,ham
713,he says he ll give me a call when his friend s got the money but that he s definitely buying before the end of the week,ham
714,you got job in wipro  you will get every thing in life in 2 or 3 years ,ham
715,u have a secret admirer who is looking 2 make contact with u find out who they r reveal who thinks ur so special call on 09058094599,spam
716,07732584351   rodger burns   msg   we tried to call you re your reply to our sms for a free nokia mobile   free camcorder  please call now 08000930705 for delivery tomorrow,spam
717,all these nice new shirts and the only thing i can wear them to is nudist themed  _  you in mu ,ham
718,talk to g and x about that,ham
719,sorry  i ll call later in meeting ,ham
720,free entry into our å 250 weekly competition just text the word win to 80086 now  18 t c www txttowin co uk,spam
721,hey  a guy i know is breathing down my neck to get him some bud  anyway you d be able to get a half track to usf tonight ,ham
722,ok lor    or u wan me go look 4 u ,ham
723,except theres a chick with huge boobs ,ham
724,sorry  i ll call later,ham
725,true dear  i sat to pray evening and felt so so i sms d you in some time   ,ham
726,lol you won t feel bad when i use her money to take you out to a steak dinner  d,ham
727,i sent my scores to sophas and i had to do secondary application for a few schools  i think if you are thinking of applying  do a research on cost also  contact joke ogunrinde  her school is one me the less expensive ones,ham
728,i enjoy watching and playing football and basketball  anything outdoors  and you ,ham
729,todays voda numbers ending 1225 are selected to receive a å 50award  if you have a match please call 08712300220 quoting claim code 3100 standard rates app ,spam
730,nope watching tv at home    not going out  v bored   ,ham
731,i ll give her once i have it  plus she said grinule greet you whenever we speak,ham
732,was gr8 to see that message  so when r u leaving  congrats dear  what school and wat r ur plans ,ham
733, û_ we r stayin here an extra week  back next wed  how did we do in the rugby this weekend  hi to and and   c u soon    ham ,ham
734,anytime lor   ,ham
735,usually the person is unconscious that s in children but in adults they may just behave abnormally  i ll call you now,ham
736,u were outbid by simonwatson5120 on the shinco dvd plyr  2 bid again  visit sms  ac smsrewards 2 end bid notifications  reply end out,spam
737,then why you not responding,ham
738,ya just telling abt tht incident  ,ham
739,po de                 no need job aha ,ham
740,i thk u dun haf 2 hint in e forum already lor    cos i told ron n darren is going 2 tell shuhui ,ham
741,great comedy  cant stop laughing da  ,ham
742,yes princess  i want to please you every night  your wish is my command   ,ham
743,no da    vijay going to talk in jaya tv,ham
744,jay wants to work out first  how s 4 sound ,ham
745,please ask mummy to call father,ham
746,should i send you naughty pix    ,ham
747,it û s å 6 to get in  is that ok ,ham
748,ok  not much to do here though  h m friday  cant wait  dunno wot the hell im gonna do for another 3 weeks  become a slob  oh wait  already done that  ,ham
749,come to me  slave  your doing it again     going into your shell and unconsciously avoiding me     you are making me unhappy    ,ham
750,my friend just got here and says he s upping his order by a few grams  he s got    lt   gt     when can you get here ,ham
751,i taught that ranjith sir called me  so only i sms like that  becaus hes verifying about project  prabu told today so only pa dont mistake me  ,ham
752,ok lor  msg me b4 u call ,ham
753,well there s a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that i m a weed fiend make them smoke too much impede their doing other things so you see how i m hesitant,ham
754,hope things went well at  doctors     reminds me i still need 2go did u c d little thing i left in the lounge ,ham
755,i ve got it down to a tea  not sure which flavour,ham
756,i will once i get home,ham
757,aldrine  rakhesh ex rtm here pls call urgent ,ham
758,freemsg  hey   i m buffy  25 and love to satisfy men  home alone feeling randy  reply 2 c my pix  qlynnbv help08700621170150p a msg send stop to stop txts,spam
759,you in your room  i need a few,ham
760,i m in class  did you get my text ,ham
761,goin to workout lor    muz lose e fats    ,ham
762,did u turn on the heater  the heater was on and set to  lt   gt  degrees ,ham
763,never blame a day in ur life  good days give u happiness  bad days give u experience  both are essential in life  all are gods blessings  good morning  ,ham
764,1apple day no doctor  1tulsi leaf day no cancer  1lemon day no fat  1cup milk day no bone problms 3 litres watr day no diseases snd ths 2 whom u care     ,ham
765,its worse if if uses half way then stops  its better for him to complete it ,ham
766,yes  i am a one woman man  please tell me your likes and dislikes in bed   ,ham
767,well obviously not because all the people in my cool college life went home  _ ,ham
768,twinks  bears  scallies  skins and jocks are calling now  don t miss the weekend s fun  call 08712466669 at 10p min  2 stop texts call 08712460324 nat rate ,spam
769,i ll probably be by tomorrow  or even later tonight if something s going on ,ham
770,yeah i am  so i ll leave maybe 7ish ,ham
771,i also thk too fast    xy suggest one not me  u dun wan it s ok  going 2 rain leh where got gd ,ham
772,i want kfc its tuesday  only buy 2 meals only 2  no gravy  only 2 mark  2 ,ham
773,k k this month kotees birthday know ,ham
774,yep  at derek s house now  see you sunday  lt 3,ham
775,text82228   get more ringtones  logos and games from www txt82228 com  questions  info txt82228 co uk,spam
776,coffee cake  i guess   ,ham
777,sorry   i will be able to get to you  see you in the morning ,ham
778,yup    i havent been there before    you want to go for the yoga  i can call up to book ,ham
779,sorry  i ll call later,ham
780,joy s father is john  then john is the name of joy s father  mandan,ham
781,today iz yellow rose day  if u love my frndship give me 1 misscall  amp  send this to ur frndz  amp  see how many miss calls u get  if u get 6missed u marry ur lover ,ham
782,anyway i don t think i can secure anything up here  lemme know if you want me to drive down south and chill,ham
783,my uncles in atlanta  wish you guys a great semester ,ham
784,pls speak with me  i wont ask anything other then you friendship ,ham
785,alright took the morphine  back in yo ,ham
786,yup    how ì_ noe leh   ,ham
787,okey dokey swashbuckling stuff what oh ,ham
788,sounds great  im going to sleep now  have a good night ,ham
789,you said to me before i went back to bed that you can t sleep for anything ,ham
790,you have won a guaranteed å 200 award or even å 1000 cashto claim ur award call free on 08000407165  18   2 stop getstop on 88222 php  rg21 4jx,spam
