Class,Text
ham,arr birthday today   i wish him to get more oscar 
ham,excellent  i ll see what riley s plans are
ham,send me your resume   
ham,your bill at 3 is å 33 65 so thats not bad 
ham,goodmorning sleeping ga 
ham,k i m ready    lt   gt   
ham,gud ni8 swt drms take care
ham,yes  i m small kid   and boost is the secret of my energy  
ham,that means get the door
ham,ya very nice     be ready on thursday
ham,watching tv lor    y she so funny we bluff her 4 wat  izzit because she thk it s impossible between us 
ham,k  wat s tht incident 
ham,mm umma ask vava also to come tell him can play later together
ham, life is nothing wen v get everything    but   life is everything wen v miss something     real value of people wil be realized only in their absence     gud mrng 
ham,still i have not checked it da     
ham,hey what happen de  are you alright 
ham, getting tickets 4 walsall tue 6 th march  my mate is getting me them on sat  ill pay my treat  want 2 go  txt bak  terry   
spam,wan2 win a meet greet with westlife 4 u or a m8  they are currently on what tour  1 unbreakable  2 untamed  3 unkempt  text 1 2 or 3 to 83049  cost 50p  std text
ham,k ill drink pa then what doing  i need srs model pls send it to my mail id pa 
ham, aww you must be nearly dead well jez iscoming over todo some workand that whilltake forever    
ham,at 7 we will go ok na 
ham,sorry  i can t help you on this 
ham,hey loverboy  i love you    i had to tell     i look at your picture and ache to feel you between my legs     fuck i want you     i need you     i crave you  
ham,r u over scratching it 
ham,hmm    dunno leh  mayb a bag 4 goigng out dat is not too small  or jus anything except perfume  smth dat i can keep 
ham,do ì_ noe if ben is going 
ham,lol no  u can trust me 
ham,k sure am in my relatives home  sms me de  pls   
ham,gain the rights of a wife dont demand it i am trying as husband too lets see
spam,want to funk up ur fone with a weekly new tone reply tones2u 2 this text  www ringtones co uk  the original n best  tones 3gbp network operator rates apply
ham,there the size of elephant tablets   u shove um up ur ass  
ham,not much  just some textin   how bout you 
ham,how to make a girl happy  it s not at all difficult to make girls happy  u only need to be    1  a friend 2  companion 3  lover 4  chef         lt   gt    good listener   lt   gt    organizer   lt   gt    good boyfriend   lt   gt    very clean   lt   gt    sympathetic   lt   gt    athletic   lt   gt    warm         lt   gt    courageous   lt   gt    determined   lt   gt    true   lt   gt    dependable   lt   gt    intelligent         lt   gt    psychologist   lt   gt    pest exterminator   lt   gt    psychiatrist   lt   gt    healer       lt   gt    stylist   lt   gt    driver     aaniye pudunga venaam  
spam,had your mobile 11mths   update for free to oranges latest colour camera mobiles   unlimited weekend calls  call mobile upd8 on freefone 08000839402 or 2stoptx
ham,haven t eaten all day  i m sitting here staring at this juicy pizza and i can t eat it  these meds are ruining my life 
ham,don no da  whats you plan 
ham,huh so slow i tot u reach long ago liao    u 2 more days only i 4 more leh   
spam,our records indicate u maybe entitled to 5000 pounds in compensation for the accident you had  to claim 4 free reply with claim to this msg  2 stop txt stop
ham,waiting for your call 
ham,hey are we going for the lo lesson or gym  
ham,also andros ice etc etc
ham,we are at grandmas  oh dear  u still ill  i felt shit this morning but i think i am just hungover  another night then  we leave on sat 
ham,you always make things bigger than they are
spam,claire here am havin borin time   am now alone u wanna cum over 2nite  chat now 09099725823 hope 2 c u luv claire xx callså 1 minmoremobsemspobox45po139wa
ham,trust me  even if isn t there  its there 
ham,are u awake  is there snow there 
ham,o ic lol  should play 9 doors sometime yo
ham,7 wonders in my world 7th you 6th ur style 5th ur smile 4th ur personality 3rd ur nature 2nd ur sms and 1st  ur lovely friendship      good morning dear 
spam,are you unique enough  find out from 30th august  www areyouunique co uk
ham,oh ho  is this the first time u use these type of words
spam,upgrdcentre orange customer  you may now claim your free camera phone upgrade for your loyalty  call now on 0207 153 9153  offer ends 26th july  t c s apply  opt out available
spam,double mins   double txt   1 2 price linerental on latest orange bluetooth mobiles  call mobileupd8 for the very latest offers  08000839402 or call2optout lf56
ham,u attend ur driving lesson how many times a wk n which day 
ham,you should change your fb to jaykwon thuglyfe falconerf
ham,roger that  we û re probably going to rem in about 20
ham,sure  i am driving but will reach my destination soon 
ham,shall i come to get pickle
ham,when where do i pick you up
ham,how dare you change my ring
ham,dizzamn  aight i ll ask my suitemates when i get back
ham,no de am seeing in online shop so that i asked 
ham,i will come tomorrow di
ham,get the door  i m here
spam,as a sim subscriber  you are selected to receive a bonus  get it delivered to your door  txt the word ok to no  88600 to claim  150p msg  exp  30apr
spam,new mobiles from 2004  must go  txt  nokia to no  89545   collect yours today  from only å 1  www 4 tc biz 2optout 087187262701 50gbp mtmsg18 txtauction 
ham,yunny    i m goin to be late
ham,what is the plural of the noun research 
ham,i havent lei   next mon can 
ham,this pain couldn t have come at a worse time 
ham,yeah we do totes  when u wanna 
ham,yes   now only saw your message  
spam,well done england  get the official poly ringtone or colour flag on yer mobile  text tone or flag to 84199 now  opt out txt eng stop  box39822 w111wx å 1 50
ham,thank you princess  you are so sexy   
ham,hey  iouri gave me your number  i m wylie  ryan s friend
spam,as a valued customer  i am pleased to advise you that following recent review of your mob no  you are awarded with a å 1500 bonus prize  call 09066364589
ham,g says you never answer your texts  confirm deny
ham,sorry battery died  yeah i m here
ham,are you available for soiree on june 3rd 
ham,lol you forgot it eh   yes  i ll bring it in babe
ham,those were my exact intentions
ham,do you know why god created gap between your fingers    so that  one who is made for you comes  amp  fills those gaps by holding your hand with love   
ham,are you willing to go for aptitude class 
ham,id onluy matters when getting on from offcampus
spam,your unique user id is 1172  for removal send stop to 87239 customer services 08708034412
ham,why tired what special there you had
spam,guess who am i this is the first time i created a web page www asjesus com read all i wrote  i m waiting for your opinions  i want to be your friend 1 1
ham,a boy loved a gal  he propsd bt she didnt mind  he gv lv lttrs  bt her frnds threw thm  again d boy decided 2 aproach d gal   dt time a truck was speeding towards d gal  wn it was about 2 hit d girl d boy ran like hell n saved her  she asked  hw cn u run so fast   d boy replied  boost is d secret of my energy   n instantly d girl shouted   our energy   n thy lived happily 2gthr drinking boost evrydy moral of d story   i hv free msgs d    gud ni8 
ham,just got some gas money  any chance you and the gang want to go on a grand nature adventure 
spam,goldviking  29 m  is inviting you to be his friend  reply yes 762 or no 762 see him  www sms ac u goldviking stop  send stop frnd to 62468
ham,my love     i hope your not doing anything drastic  don t you dare sell your pc or your phone    
ham,no plm i will come da  on the way 
ham,i will cal you sir  in meeting
ham,hurry home u big butt  hang up on your last caller if u have to  food is done and i m starving  don t ask what i cooked 
ham, lt   gt  ish minutes was 5 minutes ago  wtf 
ham,what time you think you ll have it  need to know when i should be near campus
ham,i û m going to try for 2 months ha ha only joking
spam,as a registered subscriber yr draw 4 a å 100 gift voucher will b entered on receipt of a correct ans  when are the next olympics  txt ans to 80062
spam,free entry to the gr8prizes wkly comp 4 a chance to win the latest nokia 8800  psp or å 250 cash every wk txt great to 80878 http  www gr8prizes com 08715705022
ham,orh i tot u say she now still dun believe 
spam,xmas iscoming   ur awarded either å 500 cd gift vouchers   free entry 2 r å 100 weekly draw txt music to 87066 tnc www ldew com1win150ppmx3age16subscription 
ham,lol     have you made plans for new years 
ham,ok i will tell her to stay out  yeah its been tough but we are optimistic things will improve this month 
ham,she s borderline but yeah whatever 
ham,o was not into fps then 
spam,urgent  you have won a 1 week free membership in our å 100 000 prize jackpot  txt the word  claim to no  81010 t c www dbuk net lccltd pobox 4403ldnw1a7rw18
ham,ah  well that confuses things  doesnt it  i thought was friends with now  maybe i did the wrong thing but i already sort of invited  tho he may not come cos of money 
ham,do you know why god created gap between your fingers    so that  one who is made for you comes  amp  fills those gaps by holding your hand with love   
ham,ya ok  vikky vl c witin   lt   gt  mins and il reply u  
ham,oh  yes  i ve just been a little under the weather so i ve kind of been coccooning at home
ham,you see the requirements please
ham,probably gonna swing by in a wee bit
ham,your dad is back in ph 
ham,ugh my leg hurts  musta overdid it on mon 
ham,no let me do the math  your not good at it 
ham,i m stuck in da middle of da row on da right hand side of da lt    
spam,you are now unsubscribed all services  get tons of sexy babes or hunks straight to your phone  go to http   gotbabes co uk  no subscriptions 
ham,did u got that persons story
ham,hey whats up  u sleeping all morning 
spam,guess what  somebody you know secretly fancies you  wanna find out who it is  give us a call on 09065394514 from landline datebox1282essexcm61xn 150p min 18
spam,do you want 750 anytime any network mins 150 text and a new video phone for only five pounds per week call 08002888812 or reply for delivery tomorrow
ham,oh    haha    den we shld had went today too    gee  nvm la    kaiez  i dun mind goin jazz oso    scared hiphop open cant catch up    
ham,hurry home  soup is done 
ham,all e best 4 ur exam later 
ham,i m putting it on now  it should be ready for   lt time gt  
ham,sounds like something that someone testing me would sayy
ham,sorry completely forgot   will pop em round this week if your still here 
ham,did u find out what time the bus is at coz i need to sort some stuff out 
ham,umma my life and vava umma love you lot dear
ham,do not b late love mum
spam,boltblue tones for 150p reply poly  or mono  eg poly3 1  cha cha slide 2  yeah 3  slow jamz 6  toxic 8  come with me or stop 4 more tones txt more
ham,hey gals   anyone of u going down to e driving centre tmr 
ham,fine am simply sitting 
ham,hope youåõre not having too much fun without me   see u tomorrow love jess x
ham,ay wana meet on sat ì_ wkg on sat 
ham,already am squatting is the new way of walking
ham,r u  sam p in eachother  if we meet we can go 2 my house
spam,you are a winner u have been specially selected 2 receive å 1000 cash or a 4  holiday  flights inc  speak to a live operator 2 claim 0871277810810
ham,i m always looking for an excuse to be in the city 
ham,good morning plz call me sir
ham,hope you are feeling great  pls fill me in  abiola
ham,cause i m not freaky lol
ham,annoying isn t it 
ham,no message  no responce  what happend 
ham,i place all ur points on e cultures module already 
ham,i ve been trying to reach him without success
ham,where wuld i be without my baby  the thought alone mite break me and i donåõt wanna go crazy but everyboy needs his lady xxxxxxxx
ham,pick you up bout 7 30ish  what time are  and that going 
ham,surly ill give it to you    while coming to review 
ham,yes ammae    life takes lot of turns you can only sit and try to hold the steering   
ham,tunji  how s the queen  how are you doing  this is just wishing you a great day  abiola 
ham,i have lost 10 kilos as of today 
ham,in which place i can get rooms cheap   
ham,change again    it s e one next to escalator   
ham,ìï neva tell me how i noe    i m not at home in da aft wat    
ham,can u get pic msgs to your phone 
ham,friendship poem  dear o dear u r not near but i can hear dont get fear live with cheer no more tear u r always my dear  gud ni8
ham,one day a crab was running on the sea shore  the waves came n cleared the footprints of the crab   crab asked  being my frnd y r u clearing my beautiful footprints  waves replied  a fox was following ur footprints to catch you  thats y i cleared it off   frndsship never lets u dwn     gud nyt  
ham,did u get that message
ham,sorry man  accidentally left my phone on silent last night and didn t check it til i got up
spam,six chances to win cash  from 100 to 20 000 pounds txt  csh11 and send to 87575  cost 150p day  6days  16  tsandcs apply reply hl 4 info
ham,hello  no news on job  they are making me wait a fifth week  yeah im up for some woozles and weasels    in exeter still  but be home about 3  
ham,oh thanks a lot  i already bought 2 eggs   
ham,i see the letter b on my car
ham,okie   thanx  
ham,yeah that s the impression i got
ham,i m leaving my house now 
ham,but i juz remembered i gotta bathe my dog today  
ham,no  thank you  you ve been wonderful
ham,erutupalam thandiyachu
spam,latest nokia mobile or ipod mp3 player  å 400 proze guaranteed  reply with  win to 83355 now  norcorp ltd å 1 50 mtmsgrcvd18 
ham,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full   im still waitin 4 1  pete x
spam,six chances to win cash  from 100 to 20 000 pounds txt  csh11 and send to 87575  cost 150p day  6days  16  tsandcs apply reply hl 4 info
ham,eh u remember how 2 spell his name    yes i did  he v naughty make until i v wet 
ham,jus chillaxin  what up
ham,are you in town  this is v  important
ham,east coast
ham,yup i m elaborating on the safety aspects and some other issues  
ham,but my family not responding for anything  now am in room not went to home for diwali but no one called me and why not coming  it makes me feel like died 
ham,hi hun  im not comin 2nite tell every1 im sorry 4 me  hope u ava goodtime oli rang melnite ifink it mite b sorted but il explain everythin on mon l8rs x
ham,think   da  you wil do 
ham,haven t heard anything and he s not answering my texts so i m guessing he flaked  that said the jb is fantastic
ham,arngd marriage is while u r walkin unfortuntly a snake bites u  bt love marriage is dancing in frnt of d snake  amp  sayin bite me  bite me 
spam,england v macedonia   dont miss the goals team news  txt ur national team to 87077 eg england to 87077 try wales  scotland 4txt ì¼1 20 poboxox36504w45wq 16 
ham,din i tell u jus now 420
ham,do 1 thing  change that sentence into   because i want 2 concentrate in my educational career im leaving here     
ham,it s justbeen overa week since we broke up and already our brains are going to mush 
ham,no   am working on the ringing u thing but have whole houseful of screaming brats so   am pulling my hair out  loving u
ham,where at were hungry too
ham,dunno da next show aft 6 is 850  toa payoh got 650 
ham,my life means a lot to me  not because i love my life  but because i love the people in my life  the world calls them friends  i call them my world      ge     
ham,hi shanil rakhesh here thanks i have exchanged the uncut diamond stuff leaving back  excellent service by dino and prem 
ham,yeah right  i ll bring my tape measure fri 
ham,are you free now can i call now 
ham,yup  wun believe wat  u really neva c e msg i sent shuhui 
ham,in sch but neva mind u eat 1st lor  
ham,love it  the girls at the office may wonder why you are smiling but sore   
ham,ello babe u ok 
ham,were somewhere on fredericksburg
ham,friendship poem  dear o dear u r not near but i can hear dont get fear live with cheer no more tear u r always my dear  gud ni8
ham,k come to nordstrom when you re done
ham,i didn t get the second half of that message
ham,where in abj are you serving  are you staying with dad or alone 
ham,oh rite  well im with my best mate pete  who i went out with 4 a week  now were 2geva again  its been longer than a week 
ham,yeah  probably here for a while
ham,yep then is fine 7 30 or 8 30 for ice age 
ham,no problem  how are you doing 
ham,new theory  argument wins d situation  but loses the person  so dont argue with ur friends just         kick them  amp  say  i m always correct  
ham,for real when u getting on yo  i only need 2 more tickets and one more jacket and i m done  i already used all my multis 
ham,no dear i was sleeping   p
ham,yeah do  don û t stand to close tho  you û ll catch something 
ham,sleeping nt feeling well
ham,come aftr   lt decimal gt    now i m cleaning the house
ham,almost there  see u in a sec
ham,yeah  probably earlier than that
ham,hello  my love  what are you doing  did you get to that interview today  are you you happy  are you being a good boy  do you think of me are you missing me  
ham,2mro i am not coming to gym machan  goodnight 
spam,free ring tone just text  polys   to 87131  then every week get a new tone  0870737910216yrs only å 1 50 wk  
spam,camera   you are awarded a sipix digital camera  call 09061221066 fromm landline  delivery within 28 days 
spam,tbs persolvo  been chasing us since sept forå 38 definitely not paying now thanks to your information  we will ignore them  kath  manchester 
ham,small problem in auction  punj now asking tiwary
spam,we know someone who you know that fancies you  call 09058097218 to find out who  pobox 6  ls15hb 150p
ham,still chance there  if you search hard you will get it  let have a try   
ham,happened here while you were adventuring
ham,eat at old airport road    but now 630 oredi    got a lot of pple   
ham,sent me ur email id soon
ham,hey you still want to go for yogasana  coz if we end at cine then can go bathe and hav the steam bath
ham,two fundamentals of cool life   walk
ham,my parents  my kidz  my friends n my colleagues  all screaming   surprise    and i was waiting on the sofa               naked    
spam,sorry i missed your call let s talk when you have the time  i m on 07090201529
ham,ok   ìï finishing soon 
ham,u dun say so early hor    u c already then say   
ham,get down in gandhipuram and walk to cross cut road  right side  lt   gt  street road and turn at first right 
ham,hi dear call me its urgnt  i don t know whats your problem  you don t want to work or if you have any other problem at least tell me  wating for your reply 
ham,pls help me tell ashley that i cant find her number oh
ham,umma  did she say anything
ham,dont let studying stress you out  l8r 
ham,stupid its not possible
ham,or better still can you catch her and let ask her if she can sell   lt   gt   for me 
ham, hello u call wen u finish wrk i fancy meetin up wiv u all tonite as i need a break from dabooks  did 4 hrs last nite 2 today of wrk    
ham,no i m good for the movie  is it ok if i leave in an hourish 
ham,we know taj mahal as symbol of love  but the other lesser known facts 1  mumtaz was shahjahan s 4th wife  out of his 7 wifes  2  shahjahan killed mumtaz s husband to marry her  3  mumtaz died in her   lt   gt  th delivery  4  he then married mumtaz s sister  question arises where the hell is the love      the great hari 
ham,k   k   when will you give treat 
ham,ok chinese food on its way  when i get fat you re paying for my lipo 
ham,i know complain num only  bettr directly go to bsnl offc nd apply for it  
ham,uhhhhrmm isnt having tb test bad when youre sick
ham,goodmorning  today i am late for 2hrs  because of back pain 
ham,remember on that day  
ham,ok    the theory test  when are ì_ going to book  i think it s on 21 may  coz thought wanna go out with jiayin  but she isnt free
ham,a bit of ur smile is my hppnss  a drop of ur tear is my sorrow  a part of ur heart is my life  a heart like mine wil care for u  forevr as my goodfriend
ham,what to think no one saying clearly  ok leave no need to ask her  i will go if she come or not
ham,i thk 530 lor  but dunno can get tickets a not  wat u doing now 
ham,i dont want to hear philosophy  just say what happen
ham,they just talking thats it de  they wont any other 
ham,try to do something dear  you read something for exams
ham,was gr8 to see that message  so when r u leaving  congrats dear  what school and wat r ur plans 
ham,you want to go  
ham,if you have belive me  come to my home 
ham,yes i think so  i am in office but my lap is in room i think thats on for the last few days  i didnt shut that down
ham,mah b  i ll pick it up tomorrow
ham,oh gei  that happend to me in tron  maybe ill dl it in 3d when its out
ham,hurry up  i ve been weed deficient for like three days
spam,thanks for your ringtone order  reference number x29  your mobile will be charged 4 50  should your tone not arrive please call customer services 09065989180
spam,please call amanda with regard to renewing or upgrading your current t mobile handset free of charge  offer ends today  tel 0845 021 3680 subject to t s and c s
spam,hungry gay guys feeling hungry and up 4 it  now  call 08718730555 just 10p min  to stop texts call 08712460324  10p min 
spam,romcapspam everyone around should be responding well to your presence since you are so warm and outgoing  you are bringing in a real breath of sunshine 
spam,buy space invaders 4 a chance 2 win orig arcade game console  press 0 for games arcade  std wap charge  see o2 co uk games 4 terms   settings  no purchase
ham,it s that time of the week again  ryan
ham,cool  we will have fun practicing making babies 
spam,spjanuary male sale  hot gay chat now cheaper  call 08709222922  national rate from 1 5p min cheap to 7 8p min peak  to stop texts call 08712460324  10p min 
ham,thats a bit weird  even    where is the do supposed to be happening  but good idea  sure they will be in pub 
spam,25p 4 alfie moon s children in need song on ur mob  tell ur m8s  txt tone charity to 8007 for nokias or poly charity for polys  zed 08701417012 profit 2 charity 
ham,in life when you face choices just toss a coin not becoz its settle the question but while the coin in the air u will know what your heart is hoping for  gudni8
ham,what about this one then 
ham,i do know what u mean   is the king of not havin credit  i m goin2bed now  night night sweet  only1more sleep  
spam,free camera phones with linerental from 4 49 month with 750 cross ntwk mins  1 2 price txt bundle deals also avble  call 08001950382 or call2optout j mf
spam,urgent  call 09066350750 from your landline  your complimentary 4  ibiza holiday or 10 000 cash await collection sae t cs po box 434 sk3 8wp 150 ppm 18 
ham,how is it possible to teach you  and where 
ham,have you seen who s back at holby  
spam,congratulations u can claim 2 vip row a tickets 2 c blu in concert in november or blu gift guaranteed call 09061104276 to claim ts cs www smsco net costå 3 75max 
ham,i wan but too early lei    me outside now wun b home so early    neva mind then   
ham,what i m saying is if you haven t explicitly told nora i know someone i m probably just not gonna bother
spam,88800 and 89034 are premium phone services call 08718711108
ham,don t think about  what u have got   think about   how to use it that you have got   good ni8 
ham,how much are we getting 
ham,i can t  i don t have her number 
ham,how  its a little difficult but its a simple way to enter this place
ham, came to look at the flat  seems ok  in his 50s    is away alot wiv work  got woman coming at 6 30 too 
ham,my uncles in atlanta  wish you guys a great semester 
spam,yes  the only place in town to meet exciting adult singles is now in the uk  txt chat to 86688 now  150p msg 
ham,sorry  i ll call later
ham,not tonight mate  catching up on some sleep  this is my new number by the way  
ham,  was really good to see you the other day dudette  been missing you 
ham,i want to sent   lt   gt  mesages today  thats y  sorry if i hurts
ham,i have to take exam with march 3
spam,sppok up ur mob with a halloween collection of nokia logo pic message plus a free eerie tone  txt card spook to 8007
spam,todays vodafone numbers ending with 0089 my last four digits  are selected to received a å 350 award  if your number matches please call 09063442151 to claim your å 350 award
ham,lol  u drunkard  just doing my hair at d moment  yeah still up 4 tonight  wats the plan  
ham,i ve been searching for the right words to thank you for this breather  i promise i wont take your help for granted and will fulfil my promise  you have been wonderful and a blessing at all times 
ham,please tell me not all of my car keys are in your purse
ham,you sure your neighbors didnt pick it up
ham,nothing  smsing u n xy lor  sorry lor da guys neva c u in person but they sort of know u lor  so u wan 2 meet them xy ask me 2 bring u along 4 our next meeting 
ham,no i am not having not any movies in my laptop
ham,am not working but am up to eyes in philosophy so will text u later when a bit more free for chat   
spam,sunshine quiz wkly q  win a top sony dvd player if u know which country the algarve is in  txt ansr to 82277  å 1 50 sp tyrone
ham,i ve reached sch already   
ham,anytime   
ham,hey  you got any mail 
ham,give one miss from that number please
ham,k so am i  how much for an 8th  fifty 
spam,500 free text msgs  just text ok to 80488 and we ll credit your account
ham,yes  that will be fine  love you  be safe 
ham,i wake up long ago already    dunno  what other thing 
ham,as in missionary hook up  doggy hook up  standing    
spam,do you want a new video handset  750 anytime any network mins  half price line rental  camcorder  reply or call 08000930705 for delivery tomorrow
ham,where you  what happen
ham,i hate when she does this  she turns what should be a fun shopping trip into an annoying day of how everything would look in her house 
ham,sorry     mail     
ham,now only i reached home      i am very tired now    i will come tomorro
ham,its too late  but its k wish you the same 
spam,2p per min to call germany 08448350055 from your bt line  just 2p per min  check planettalkinstant com for info   t s   c s  text stop to opt out
ham,make sure alex knows his birthday is over in fifteen minutes as far as you re concerned
ham,ok 
ham,he s in lag  that s just the sad part but we keep in touch thanks to skype
ham,y she dun believe leh  i tot i told her it s true already  i thk she muz c us tog then she believe 
ham,k i ll be there before 4 
ham,can not use foreign stamps in this country  good lecture  
ham, pete can you please ring meive hardly gotany credit   
ham,k  jason says he s gonna be around so i ll be up there around   lt   gt 
ham,university of southern california 
ham,good  no swimsuit allowed   
ham,tomorrow i am not going to theatre      so i can come wherever u call me      tell me where and when to come tomorrow
ham,you still at grand prix 
ham,i think just yourself  û_thanks and see you tomo
spam,our dating service has been asked 2 contact u by someone shy  call 09058091870 now all will be revealed  pobox84  m26 3uz 150p
ham, hi darlin did youphone me  im athome if youwanna chat    
ham,yar else i ll thk of all sorts of funny things 
ham,cant think of anyone with   spare room off   top of my head
ham,faith makes things possible hope makes things work love makes things beautiful may you have all three this christmas merry christmas 
ham,miles and smiles r made frm same letters but do u know d difference    smile on ur face keeps me happy even though i am miles away from u      keep smiling   good nyt
ham,i m going out to buy mum s present ar 
ham,thanks for being there for me just to talk to on saturday  you are very dear to me  i cherish having you as a brother and role model 
ham,yes we were outside for like 2 hours  and i called my whole family to wake them up cause it started at 1 am
ham,i m an actor  when i work  i work in the evening and sleep late  since i m unemployed at the moment  i always sleep late  when you re unemployed  every day is saturday 
ham,then ì_ wait 4 me at bus stop aft ur lect lar  if i dun c ì_ then i go get my car then come back n pick ì_ 
ham,pls she needs to dat slowly or she will vomit more 
spam,free for 1st week  no1 nokia tone 4 ur mobile every week just txt nokia to 8077 get txting and tell ur mates  www getzed co uk pobox 36504 w45wq 16  norm150p tone
ham,yes  sura in sun tv   lol 
spam,eerie nokia tones 4u  rply tone title to 8007 eg tone dracula to 8007 titles  ghost  addamsfa  munsters  exorcist  twilight www getzed co uk pobox36504w45wq 150p
ham,thank god they are in bed 
ham,erm    woodland avenue somewhere  do you get the parish magazine  his telephone number will be in there 
ham,yes   it completely in out of form  clark also utter waste 
ham,i m sorry  i ve joined the league of people that dont keep in touch  you mean a great deal to me  you have been a friend at all times even at great personal cost  do have a great week  
spam,free game  get rayman golf 4 free from the o2 games arcade  1st get ur games settings  reply post  then save   activ8  press 0 key for arcade  termsapply
ham,cramps stopped  going back to sleep
ham,have a lovely night and when you wake up to see this message  i hope you smile knowing all is as should be  have a great morning
ham,1  go to write msg 2  put on dictionary mode 3 cover the screen with hand  4 press   lt   gt    5 gently remove ur hand   its interesting    
ham,jus came back fr lunch wif my sis only  u leh 
ham,so what did the bank say about the money 
ham,is your hamster dead  hey so tmr i meet you at 1pm orchard mrt  
ham,depends on individual lor e hair dresser say pretty but my parents say look gong  u kaypoh   i also dunno wat she collecting 
ham,please attend the phone  
spam,back 2 work 2morro half term over  can u c me 2nite 4 some sexy passion b4 i have 2 go back  chat now 09099726481 luv dena calls å 1 minmobsmorelkpobox177hp51fl
ham,hows the champ just leaving glasgow 
ham,mmm so yummy babe     nice jolt to the suzy
ham,your daily text from me  ûò a favour this time
ham,sorry da  today i wont come to play  i have driving clas  
ham,u buy newspapers already 
ham,then its most likely called mittelschmertz  google it  if you dont have paracetamol dont worry it will go 
ham,finally it has happened    aftr decades    beer is now cheaper than petrol  the goverment expects us to  drink        but don t   drive    
ham,and popping  lt   gt  ibuprofens was no help 
spam,dear u ve been invited to xchat  this is our final attempt to contact u  txt chat to 86688 150p msgrcvdhg suite342 2lands row w1j6hl ldn 18 yrs
ham,i asked you to call him now ok
ham,yeah  probably but not sure  ilol let u know  but personally i wuldnt bother  then again if ur goin to then i mite as well  
ham,naughty little thought   its better to flirt  flirt n flirt  rather than loving someone n gettin hurt  hurt n hurt       gud nyt
ham,how long has it been since you screamed  princess 
ham,i am on the way to ur home
ham,call me when you carlos is are here  my phone s vibrate is acting up and i might not hear texts
ham,yes  i come to nyc for audiitions and am trying to relocate 
ham,easy ah sen got selected means its good  
ham,nationwide auto centre  or something like that  on newport road  i liked them there
ham,there are no other charges after transfer charges and you can withdraw anyhow you like
ham,do you like italian food 
ham,its a part of checking iq
ham,i am great princess  what are you thinking about me    
ham,usf i guess  might as well take 1 car
ham,ìï no home work to do meh    
ham,then just eat a shit and wait for ur monkey face bitch           u asshole                  
ham,haven t left yet so probably gonna be here til dinner
ham,thank you  and by the way  i just lost 
ham,please don t text me anymore  i have nothing else to say 
ham,also remember the beads don t come off  ever 
ham,ta daaaaa  i am home babe  are you still up  
ham,dear got train and seat mine lower seat
spam,do you want 750 anytime any network mins 150 text and a new video phone for only five pounds per week call 08000776320 now or reply for delivery tomorrow
spam,urgent  important information for 02 user  today is your lucky day  2 find out why   log onto http   www urawinner com there is a fantastic surprise awaiting you  
ham,pls go ahead with watts  i just wanted to be sure  do have a great weekend  abiola
ham,ok lor   
ham,dunno lei shd b driving lor cos i go sch 1 hr oni 
spam,urgent  your mobile no 07xxxxxxxxx won a å 2 000 bonus caller prize on 02 06 03  this is the 2nd attempt to reach you  call 09066362231 asap  box97n7qp  150ppm
ham,helloooo    wake up     sweet     morning     welcomes     you     enjoy     this day     with full of joy       gud mrng    
ham,here got lots of hair dresser fr china 
ham,you didnt complete your gist oh 
ham,a boy loved a gal  he propsd bt she didnt mind  he gv lv lttrs  bt her frnds threw thm  again d boy decided 2 aproach d gal   dt time a truck was speeding towards d gal  wn it was about 2 hit d girl d boy ran like hell n saved her  she asked  hw cn u run so fast   d boy replied  boost is d secret of my energy   n instantly d girl shouted   our energy   n thy lived happily 2gthr drinking boost evrydy moral of d story   i hv free msgs d    gud ni8 
ham,what i mean was i left too early to check  cos i m working a 9 6 
ham,so gd got free ice cream    i oso wan   
ham,fffff  can you text kadeem or are you too far gone
ham,jos ask if u wana meet up 
ham,i call you later  don t have network  if urgnt  sms me 
ham,huh means computational science    y they like dat one push here n there   
ham,ill b down soon
ham,no did you check  i got his detailed message now
ham,send me your id and password
ham,how are you doing  hope you ve settled in for the new school year  just wishin you a gr8 day
ham,ok  every night take a warm bath drink a cup of milk and you ll see a work of magic  you still need to loose weight  just so that you know
ham,that was random saw my old roomate on campus  he graduated
ham,so are you guys asking that i get that slippers again or its gone with last year
ham,mum say we wan to go then go    then she can shun bian watch da glass exhibition    
ham,i m in class  will holla later
ham,have you got xmas radio times  if not i will get it now
ham,idk  i m sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i m a failure in everything  nobody wants me and now i feel like i m failing you 
ham,i don t run away frm u    i walk slowly  amp  it kills me that u don t care enough to stop me   
ham,ya i knw u vl giv  its ok thanks kano  anyway enjoy wit ur family wit 1st salary        
ham,uncle boye  i need movies oh  guide me  plus you know torrents are not particularly legal here  and the system is slowing down  what should i do  have a gr8 day  plus have you started cos i dont meet you online  how was the honey moon 
ham,have you finished work yet    
ham,i sent them  do you like 
ham,just now saw your message it k da  
ham,gud mrng dear hav a nice day
ham,doing nothing  then u not having dinner w us 
ham,k   k   yesterday i was in cbe  
ham,i dunno they close oredi not    ìï v ma fan   
spam,thanks 4 your continued support your question this week will enter u in2 our draw 4 å 100 cash  name the new us president  txt ans to 80082
